value;name;category;motor;description;location;items;opportunity
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Sensor de chuva', 'Ar condicionado'];OPORTUNIDADE
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Sensor de estacionamento', 'Travas elétricas'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;['Painel digital', 'Câmbio automático', 'Sensor crepuscular', 'Rodas de liga'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;['Câmera de estacionamento', 'Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Freios ABS', 'Sensor de estacionamento', 'Teto panorâmico'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Vidros elétricos', 'Travas elétricas'];
